loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
1,5000,10.99,163.67,40000.0,4243.0,68.4,30.0,5.0,5466.31,-466.3100000000004
1,20000,6.99,617.46,105000.0,22500.0,85.0,13.0,1.0,21275.17,-1275.1699999999983
1,4000,10.99,130.94,63000.0,8506.0,12.3,15.0,4.0,4315.91,-315.90999999999985
1,20000,10.99,654.68,98000.0,27691.0,36.9,43.0,9.0,20489.4,-489.40000000000146
1,14000,6.89,431.58,90000.0,14232.0,85.0,31.0,3.0,14093.31,-93.30999999999949
1,6500,6.92,200.47,45000.0,5930.0,29.5,43.0,4.0,6968.47,-468.47000000000025
1,35000,11.53,833.0390000000002,78000.0,26508.0,63.9,20.0,6.0,26131.192000000003,8868.807999999997
1,10800,10.99,353.53,42000.0,12566.0,28.5,32.0,9.0,11088.67,-288.6700000000001
1,24000,6.49,735.47,82000.0,25451.0,25.2,37.0,5.0,25624.81,-1624.8100000000013
1,15000,6.24,457.97,43626.0,919.0,3.8,29.0,6.0,15784.03,-784.0300000000007
1,10000,6.49,306.45,75000.0,9557.0,59.4,30.0,5.0,10145.99,-145.98999999999978
0,4000,12.29,133.42,50000.0,8385.0,60.0,23.0,4.0,1383.86,2616.1400000000003
1,6000,5.32,180.69,75000.0,9302.0,23.5,43.0,9.0,6169.270001,-169.27000099999987
1,10000,8.19,314.25,50000.0,11249.0,53.6,23.0,5.0,10977.07,-977.0699999999997
1,12000,11.49,395.66,42000.0,8628.0,62.5,21.0,7.0,12259.61,-259.6100000000006
1,13600,8.67,430.4,35000.0,11618.0,43.2,11.0,2.0,14576.86,-976.8600000000006
1,5600,8.18,175.95,75000.0,4302.0,19.0,28.0,4.0,6004.58,-404.5799999999999
1,17000,6.39,520.19,100800.0,16411.0,41.2,40.0,8.0,17589.06,-589.0600000000013
1,28000,13.99,833.0390000000002,110000.0,37066.0,68.3,18.0,2.0,26131.192000000003,1868.8079999999973
1,11200,12.69,375.71,98000.0,10913.0,56.3,13.0,4.0,11948.17,-748.1700000000001
1,5400,12.29,180.11,54000.0,7307.0,48.1,43.0,8.0,5705.46,-305.46000000000004
1,14000,12.39,467.62,100000.0,17729.0,58.9,16.0,4.0,15707.07,-1707.0699999999997
1,25000,7.26,774.91,115000.0,21434.0,85.0,22.0,3.0,26131.192000000003,-1131.1920000000027
1,6000,8.18,188.52,45000.0,5054.0,41.8,11.0,2.0,6506.11,-506.1099999999997
1,27000,6.92,832.7,65000.0,12174.0,78.5,19.0,1.0,26131.192000000003,868.8079999999973
1,24000,6.39,734.38,54000.0,36017.0,63.0,11.0,1.0,25965.57,-1965.5699999999997
1,8000,11.53,263.93,78000.0,16361.0,60.4,33.0,8.0,8570.91,-570.9099999999999
1,8975,10.99,293.79,52000.0,16143.0,44.6,37.0,9.0,9348.3,-373.2999999999993
1,20000,6.39,611.98,52000.0,16911.0,62.9,30.0,5.0,21278.66,-1278.6599999999999
1,10000,13.66,340.13,82000.0,13689.0,49.1,43.0,6.0,11702.59,-1702.5900000000001
0,15000,6.89,462.41,38000.0,13071.0,68.4,14.0,2.0,5091.96,9908.04
1,5450,10.99,178.41,50000.0,5482.0,52.7,19.0,2.0,5824.85,-374.85000000000036
1,20000,7.89,625.72,84000.0,4806.0,19.9,12.0,2.0,21826.1,-1826.0999999999985
1,16500,7.26,511.44,96913.0,11972.0,42.5,39.0,2.0,17569.48,-1069.4799999999996
0,8000,7.89,250.29,58000.0,4709.0,68.2,43.0,3.0,1498.23,6501.77
1,22400,11.99,743.9,105000.0,30643.0,85.0,28.0,4.0,23050.77,-650.7700000000004
1,5000,5.32,150.58,60000.0,5448.0,10.1,32.0,1.0,5269.56,-269.5600000000004
1,15000,6.49,459.67,80000.0,21155.0,15.7,43.0,3.0,16027.76,-1027.7600000000002
1,7000,10.99,229.14,92000.0,15818.0,42.8,22.0,9.0,7012.83,-12.829999999999927
0,35000,14.65,833.0390000000002,123000.0,9352.0,62.9,18.0,6.0,8351.99,26648.010000000002
1,11000,9.99,354.89,37330.0,15185.0,77.1,36.0,3.0,11541.36,-541.3600000000006
0,10000,12.69,335.45,65000.0,2861.0,85.0,18.0,6.0,3620.11,6379.889999999999
